baker,full_name,series,episode,technical,result,baker_age,baker_occupation,hometown,signature_bake,show_stopper
Steven,Steven Carter-Bailey,8,2,6,STAR BAKER,34,Marketer,"Watford, Hertfordshire",Amarpressi Biscuits,'Check Bake' Game
Peter,Peter Abatan,8,2,NA,NA,52,IT programme manager,"Southend, Essex",NA,NA
James,James Hillery,8,3,9,IN,46,Banker,"Brentwood, Essex",Nordic Teacakes,'Owl in the Woods' Bread Sculpture
Kate,Kate Lyon,8,3,10,IN,29,Health and safety inspector,Merseyside,Blueberry Buns,'Kraken' Bread Sculpture
Liam,Liam Charles,8,3,5,IN,19,Student,North London,Jamaican Spiced Teacakes,'Kneadapolitan' Bread Sculpture
Sophie,Sophie Faldo,8,3,6,IN,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Tagine Teacakes,'Picnic Basket' Bread Sculpture
Stacey,Stacey Hart,8,3,1,IN,42,Former school teacher,"Radlett, Hertfordshire",Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture
Steven,Steven Carter-Bailey,8,3,3,IN,34,Marketer,"Watford, Hertfordshire",Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture
Tom,Tom Hetherington,8,3,4,IN,29,Architect,Edinburgh,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture
Yan,Yan Tsou,8,3,8,IN,46,Laboratory research scientist,North London,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture
Flo,Flo Atkins,8,3,7,OUT,71,Retired,Merseyside,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture
Julia,Julia Chernogorova,8,3,2,STAR BAKER,21,Aviation Broker,"Crawley, West Sussex",Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture
Chris,Chris Geiger,8,3,NA,NA,50,Software developer,Bristol,NA,NA
Peter,Peter Abatan,8,3,NA,NA,52,IT programme manager,"Southend, Essex",NA,NA
James,James Hillery,8,4,2,IN,46,Banker,"Brentwood, Essex",'Windy City' Millionaire Shortbreads,Nutty Caramel Cake
Julia,Julia Chernogorova,8,4,9,IN,21,Aviation Broker,"Crawley, West Sussex",Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake
Liam,Liam Charles,8,4,3,IN,19,Student,North London,Salted Peanut Butter Millionaire Shortbreads,White Layered Ginger Caramel Cake
Sophie,Sophie Faldo,8,4,4,IN,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake
Stacey,Stacey Hart,8,4,1,IN,42,Former school teacher,"Radlett, Hertfordshire",Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake
Steven,Steven Carter-Bailey,8,4,7,IN,34,Marketer,"Watford, Hertfordshire",Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake
Yan,Yan Tsou,8,4,8,IN,46,Laboratory research scientist,North London,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake
Tom,Tom Hetherington,8,4,5,OUT,29,Architect,Edinburgh,Stem Ginger Caramel Shortbreads,Hummingbird Cake
Kate,Kate Lyon,8,4,6,STAR BAKER,29,Health and safety inspector,Merseyside,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake
Chris,Chris Geiger,8,4,NA,NA,50,Software developer,Bristol,NA,NA
Flo,Flo Atkins,8,4,NA,NA,71,Retired,Merseyside,NA,NA
Peter,Peter Abatan,8,4,NA,NA,52,IT programme manager,"Southend, Essex",NA,NA
Julia,Julia Chernogorova,8,5,3,IN,21,Aviation Broker,"Crawley, West Sussex",Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine
Kate,Kate Lyon,8,5,8,IN,29,Health and safety inspector,Merseyside,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine
Liam,Liam Charles,8,5,2,IN,19,Student,North London,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine
Stacey,Stacey Hart,8,5,4,IN,42,Former school teacher,"Radlett, Hertfordshire",Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine
Steven,Steven Carter-Bailey,8,5,5,IN,34,Marketer,"Watford, Hertfordshire",Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine
Yan,Yan Tsou,8,5,6,IN,46,Laboratory research scientist,North London,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine
James,James Hillery,8,5,7,OUT,46,Banker,"Brentwood, Essex",Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine
Sophie,Sophie Faldo,8,5,1,STAR BAKER,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey","Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine"
Chris,Chris Geiger,8,5,NA,NA,50,Software developer,Bristol,NA,NA
Flo,Flo Atkins,8,5,NA,NA,71,Retired,Merseyside,NA,NA
Peter,Peter Abatan,8,5,NA,NA,52,IT programme manager,"Southend, Essex",NA,NA
Tom,Tom Hetherington,8,5,NA,NA,29,Architect,Edinburgh,NA,NA
Kate,Kate Lyon,8,6,5,IN,29,Health and safety inspector,Merseyside,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze
Sophie,Sophie Faldo,8,6,2,IN,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits
Stacey,Stacey Hart,8,6,6,IN,42,Former school teacher,"Radlett, Hertfordshire",'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango
Steven,Steven Carter-Bailey,8,6,3,IN,34,Marketer,"Watford, Hertfordshire",'Fleetwood Mac' Decorative Pies,Christmas Pie
Yan,Yan Tsou,8,6,1,IN,46,Laboratory research scientist,North London,'πr2' Decorative Pies,Chequerboard Pie
Julia,Julia Chernogorova,8,6,7,OUT,21,Aviation Broker,"Crawley, West Sussex",'Pies from the Tree' Decorative Pies,'Special Occasion' Pie
Liam,Liam Charles,8,6,4,STAR BAKER,19,Student,North London,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie
Chris,Chris Geiger,8,6,NA,NA,50,Software developer,Bristol,NA,NA
Flo,Flo Atkins,8,6,NA,NA,71,Retired,Merseyside,NA,NA
James,James Hillery,8,6,NA,NA,46,Banker,"Brentwood, Essex",NA,NA
Peter,Peter Abatan,8,6,NA,NA,52,IT programme manager,"Southend, Essex",NA,NA
Tom,Tom Hetherington,8,6,NA,NA,29,Architect,Edinburgh,NA,NA
Kate,Kate Lyon,8,7,6,IN,29,Health and safety inspector,Merseyside,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle
Liam,Liam Charles,8,7,2,IN,19,Student,North London,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle
Sophie,Sophie Faldo,8,7,3,IN,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",'Classics with a Twist' Cannoli,'Classics' Sfogliatelle
Stacey,Stacey Hart,8,7,4,IN,42,Former school teacher,"Radlett, Hertfordshire",My All Time Favourite Desserts,Pastry Surprise
Yan,Yan Tsou,8,7,5,OUT,46,Laboratory research scientist,North London,Cannoli Cocktails,Canadian-Style Sfogliatelle
Steven,Steven Carter-Bailey,8,7,1,STAR BAKER,34,Marketer,"Watford, Hertfordshire",Italian Style Cannoli,'Sicilian-style' Sfogliatelle
Chris,Chris Geiger,8,7,NA,NA,50,Software developer,Bristol,NA,NA
Flo,Flo Atkins,8,7,NA,NA,71,Retired,Merseyside,NA,NA
James,James Hillery,8,7,NA,NA,46,Banker,"Brentwood, Essex",NA,NA
Julia,Julia Chernogorova,8,7,NA,NA,21,Aviation Broker,"Crawley, West Sussex",NA,NA
Peter,Peter Abatan,8,7,NA,NA,52,IT programme manager,"Southend, Essex",NA,NA
Tom,Tom Hetherington,8,7,NA,NA,29,Architect,Edinburgh,NA,NA
Kate,Kate Lyon,8,8,2,IN,29,Health and safety inspector,Merseyside,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake
Sophie,Sophie Faldo,8,8,4,IN,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake
Steven,Steven Carter-Bailey,8,8,1,IN,34,Marketer,"Watford, Hertfordshire",'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake
Liam,Liam Charles,8,8,5,OUT,19,Student,North London,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake
Stacey,Stacey Hart,8,8,3,STAR BAKER,42,Former school teacher,"Radlett, Hertfordshire",Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake
Chris,Chris Geiger,8,8,NA,NA,50,Software developer,Bristol,NA,NA
Flo,Flo Atkins,8,8,NA,NA,71,Retired,Merseyside,NA,NA
James,James Hillery,8,8,NA,NA,46,Banker,"Brentwood, Essex",NA,NA
Julia,Julia Chernogorova,8,8,NA,NA,21,Aviation Broker,"Crawley, West Sussex",NA,NA
Peter,Peter Abatan,8,8,NA,NA,52,IT programme manager,"Southend, Essex",NA,NA
Tom,Tom Hetherington,8,8,NA,NA,29,Architect,Edinburgh,NA,NA
Yan,Yan Tsou,8,8,NA,NA,46,Laboratory research scientist,North London,NA,NA
Kate,Kate Lyon,8,9,4,IN,29,Health and safety inspector,Merseyside,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece
Steven,Steven Carter-Bailey,8,9,3,IN,34,Marketer,"Watford, Hertfordshire",Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece
Stacey,Stacey Hart,8,9,2,OUT,42,Former school teacher,"Radlett, Hertfordshire",'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece
Sophie,Sophie Faldo,8,9,1,STAR BAKER,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece
Chris,Chris Geiger,8,9,NA,NA,50,Software developer,Bristol,NA,NA
Flo,Flo Atkins,8,9,NA,NA,71,Retired,Merseyside,NA,NA
James,James Hillery,8,9,NA,NA,46,Banker,"Brentwood, Essex",NA,NA
Julia,Julia Chernogorova,8,9,NA,NA,21,Aviation Broker,"Crawley, West Sussex",NA,NA
Liam,Liam Charles,8,9,NA,NA,19,Student,North London,NA,NA
Peter,Peter Abatan,8,9,NA,NA,52,IT programme manager,"Southend, Essex",NA,NA
Tom,Tom Hetherington,8,9,NA,NA,29,Architect,Edinburgh,NA,NA
Yan,Yan Tsou,8,9,NA,NA,46,Laboratory research scientist,North London,NA,NA
Kate,Kate Lyon,8,10,3,Runner-up,29,Health and safety inspector,Merseyside,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet"
Steven,Steven Carter-Bailey,8,10,1,Runner-up,34,Marketer,"Watford, Hertfordshire","Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet
Sophie,Sophie Faldo,8,10,2,WINNER,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey","Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet
Chris,Chris Geiger,8,10,NA,NA,50,Software developer,Bristol,NA,NA
Flo,Flo Atkins,8,10,NA,NA,71,Retired,Merseyside,NA,NA
James,James Hillery,8,10,NA,NA,46,Banker,"Brentwood, Essex",NA,NA
Julia,Julia Chernogorova,8,10,NA,NA,21,Aviation Broker,"Crawley, West Sussex",NA,NA
Liam,Liam Charles,8,10,NA,NA,19,Student,North London,NA,NA
Peter,Peter Abatan,8,10,NA,NA,52,IT programme manager,"Southend, Essex",NA,NA
Stacey,Stacey Hart,8,10,NA,NA,42,Former school teacher,"Radlett, Hertfordshire",NA,NA
Tom,Tom Hetherington,8,10,NA,NA,29,Architect,Edinburgh,NA,NA
Yan,Yan Tsou,8,10,NA,NA,46,Laboratory research scientist,North London,NA,NA
Antony,Antony Amourdoux,9,1,12,IN,30,Banker,London,NA,NA
Briony,Briony Williams,9,1,2,IN,33,Full-time parent,Bristol,NA,NA
Dan,Dan Beasley-Harling,9,1,4,IN,36,Full-time parent,London,NA,NA
Jon,Jon Jenkins,9,1,5,IN,47,Blood courier,Newport,NA,NA
Karen,Karen Wright,9,1,6,IN,60,In-store sampling assistant,Wakefield,NA,NA
Kim-Joy,Kim-Joy Hewlett,9,1,10,IN,27,Mental health specialist,Leeds,NA,NA
Luke,Luke Thompson,9,1,8,IN,30,Civil servant/house and techno DJ,Sheffield,NA,NA
Rahul,Rahul Mandal,9,1,7,IN,30,Research scientist,Rotherham,NA,NA
Ruby,Ruby Bhogal,9,1,1,IN,29,Project manager,London,NA,NA
Terry,Terry Hartill,9,1,9,IN,56,Retired air steward,West Midlands,NA,NA
Imelda,Imelda McCarron,9,1,11,OUT,33,Countryside recreation officer,County Tyrone,NA,NA
Manon,Manon Lagrave,9,1,3,STAR BAKER,26,Software project manager,London,NA,NA
Antony,Antony Amourdoux,9,2,9,IN,30,Banker,London,NA,NA
Briony,Briony Williams,9,2,5,IN,33,Full-time parent,Bristol,NA,NA
Dan,Dan Beasley-Harling,9,2,3,IN,36,Full-time parent,London,NA,NA
Jon,Jon Jenkins,9,2,1,IN,47,Blood courier,Newport,NA,NA
Karen,Karen Wright,9,2,11,IN,60,In-store sampling assistant,Wakefield,NA,NA
Kim-Joy,Kim-Joy Hewlett,9,2,4,IN,27,Mental health specialist,Leeds,NA,NA
Manon,Manon Lagrave,9,2,6,IN,26,Software project manager,London,NA,NA
Ruby,Ruby Bhogal,9,2,10,IN,29,Project manager,London,NA,NA
Terry,Terry Hartill,9,2,8,IN,56,Retired air steward,West Midlands,NA,NA
Luke,Luke Thompson,9,2,7,OUT,30,Civil servant/house and techno DJ,Sheffield,NA,NA
Rahul,Rahul Mandal,9,2,2,STAR BAKER,30,Research scientist,Rotherham,NA,NA
Imelda,Imelda McCarron,9,2,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
Briony,Briony Williams,9,3,9,IN,33,Full-time parent,Bristol,NA,NA
Dan,Dan Beasley-Harling,9,3,6,IN,36,Full-time parent,London,NA,NA
Jon,Jon Jenkins,9,3,2,IN,47,Blood courier,Newport,NA,NA
Karen,Karen Wright,9,3,5,IN,60,In-store sampling assistant,Wakefield,NA,NA
Kim-Joy,Kim-Joy Hewlett,9,3,10,IN,27,Mental health specialist,Leeds,NA,NA
Manon,Manon Lagrave,9,3,3,IN,26,Software project manager,London,NA,NA
Ruby,Ruby Bhogal,9,3,7,IN,29,Project manager,London,NA,NA
Terry,Terry Hartill,9,3,1,IN,56,Retired air steward,West Midlands,NA,NA
Antony,Antony Amourdoux,9,3,8,OUT,30,Banker,London,NA,NA
Rahul,Rahul Mandal,9,3,4,STAR BAKER,30,Research scientist,Rotherham,NA,NA
Imelda,Imelda McCarron,9,3,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
Luke,Luke Thompson,9,3,NA,NA,30,Civil servant/house and techno DJ,Sheffield,NA,NA
Terry,Terry Hartill,9,4,NA,[a],56,Retired air steward,West Midlands,NA,NA
Briony,Briony Williams,9,4,5,IN,33,Full-time parent,Bristol,NA,NA
Jon,Jon Jenkins,9,4,3,IN,47,Blood courier,Newport,NA,NA
Karen,Karen Wright,9,4,7,IN,60,In-store sampling assistant,Wakefield,NA,NA
Kim-Joy,Kim-Joy Hewlett,9,4,6,IN,27,Mental health specialist,Leeds,NA,NA
Manon,Manon Lagrave,9,4,8,IN,26,Software project manager,London,NA,NA
Rahul,Rahul Mandal,9,4,4,IN,30,Research scientist,Rotherham,NA,NA
Ruby,Ruby Bhogal,9,4,2,IN,29,Project manager,London,NA,NA
Dan,Dan Beasley-Harling,9,4,1,STAR BAKER,36,Full-time parent,London,NA,NA
Antony,Antony Amourdoux,9,4,NA,NA,30,Banker,London,NA,NA
Imelda,Imelda McCarron,9,4,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
Luke,Luke Thompson,9,4,NA,NA,30,Civil servant/house and techno DJ,Sheffield,NA,NA
Briony,Briony Williams,9,5,6,IN,33,Full-time parent,Bristol,NA,NA
Dan,Dan Beasley-Harling,9,5,2,IN,36,Full-time parent,London,NA,NA
Jon,Jon Jenkins,9,5,7,IN,47,Blood courier,Newport,NA,NA
Manon,Manon Lagrave,9,5,5,IN,26,Software project manager,London,NA,NA
Rahul,Rahul Mandal,9,5,3,IN,30,Research scientist,Rotherham,NA,NA
Ruby,Ruby Bhogal,9,5,1,IN,29,Project manager,London,NA,NA
Karen,Karen Wright,9,5,9,OUT,60,In-store sampling assistant,Wakefield,NA,NA
Terry,Terry Hartill,9,5,8,OUT,56,Retired air steward,West Midlands,NA,NA
Kim-Joy,Kim-Joy Hewlett,9,5,4,STAR BAKER,27,Mental health specialist,Leeds,NA,NA
Antony,Antony Amourdoux,9,5,NA,NA,30,Banker,London,NA,NA
Imelda,Imelda McCarron,9,5,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
Luke,Luke Thompson,9,5,NA,NA,30,Civil servant/house and techno DJ,Sheffield,NA,NA
Jon,Jon Jenkins,9,6,2,IN,47,Blood courier,Newport,NA,NA
Kim-Joy,Kim-Joy Hewlett,9,6,5,IN,27,Mental health specialist,Leeds,NA,NA
Manon,Manon Lagrave,9,6,4,IN,26,Software project manager,London,NA,NA
Rahul,Rahul Mandal,9,6,3,IN,30,Research scientist,Rotherham,NA,NA
Ruby,Ruby Bhogal,9,6,7,IN,29,Project manager,London,NA,NA
Dan,Dan Beasley-Harling,9,6,6,OUT,36,Full-time parent,London,NA,NA
Briony,Briony Williams,9,6,1,STAR BAKER,33,Full-time parent,Bristol,NA,NA
Antony,Antony Amourdoux,9,6,NA,NA,30,Banker,London,NA,NA
Imelda,Imelda McCarron,9,6,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
Karen,Karen Wright,9,6,NA,NA,60,In-store sampling assistant,Wakefield,NA,NA
Luke,Luke Thompson,9,6,NA,NA,30,Civil servant/house and techno DJ,Sheffield,NA,NA
Terry,Terry Hartill,9,6,NA,NA,56,Retired air steward,West Midlands,NA,NA
Briony,Briony Williams,9,7,5,IN,33,Full-time parent,Bristol,NA,NA
Manon,Manon Lagrave,9,7,2,IN,26,Software project manager,London,NA,NA
Rahul,Rahul Mandal,9,7,1,IN,30,Research scientist,Rotherham,NA,NA
Ruby,Ruby Bhogal,9,7,3,IN,29,Project manager,London,NA,NA
Jon,Jon Jenkins,9,7,4,OUT,47,Blood courier,Newport,NA,NA
Kim-Joy,Kim-Joy Hewlett,9,7,6,STAR BAKER,27,Mental health specialist,Leeds,NA,NA
Antony,Antony Amourdoux,9,7,NA,NA,30,Banker,London,NA,NA
Dan,Dan Beasley-Harling,9,7,NA,NA,36,Full-time parent,London,NA,NA
Imelda,Imelda McCarron,9,7,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
Karen,Karen Wright,9,7,NA,NA,60,In-store sampling assistant,Wakefield,NA,NA
Luke,Luke Thompson,9,7,NA,NA,30,Civil servant/house and techno DJ,Sheffield,NA,NA
Terry,Terry Hartill,9,7,NA,NA,56,Retired air steward,West Midlands,NA,NA
Briony,Briony Williams,9,8,1,IN,33,Full-time parent,Bristol,NA,NA
Kim-Joy,Kim-Joy Hewlett,9,8,2,IN,27,Mental health specialist,Leeds,NA,NA
Rahul,Rahul Mandal,9,8,5,IN,30,Research scientist,Rotherham,NA,NA
Manon,Manon Lagrave,9,8,4,OUT,26,Software project manager,London,NA,NA
Ruby,Ruby Bhogal,9,8,3,STAR BAKER,29,Project manager,London,NA,NA
Antony,Antony Amourdoux,9,8,NA,NA,30,Banker,London,NA,NA
Dan,Dan Beasley-Harling,9,8,NA,NA,36,Full-time parent,London,NA,NA
Imelda,Imelda McCarron,9,8,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
Jon,Jon Jenkins,9,8,NA,NA,47,Blood courier,Newport,NA,NA
Karen,Karen Wright,9,8,NA,NA,60,In-store sampling assistant,Wakefield,NA,NA
Luke,Luke Thompson,9,8,NA,NA,30,Civil servant/house and techno DJ,Sheffield,NA,NA
Terry,Terry Hartill,9,8,NA,NA,56,Retired air steward,West Midlands,NA,NA
Kim-Joy,Kim-Joy Hewlett,9,9,2,IN,27,Mental health specialist,Leeds,NA,NA
Rahul,Rahul Mandal,9,9,4,IN,30,Research scientist,Rotherham,NA,NA
Briony,Briony Williams,9,9,3,OUT,33,Full-time parent,Bristol,NA,NA
Ruby,Ruby Bhogal,9,9,1,STAR BAKER,29,Project manager,London,NA,NA
Antony,Antony Amourdoux,9,9,NA,NA,30,Banker,London,NA,NA
Dan,Dan Beasley-Harling,9,9,NA,NA,36,Full-time parent,London,NA,NA
Imelda,Imelda McCarron,9,9,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
Jon,Jon Jenkins,9,9,NA,NA,47,Blood courier,Newport,NA,NA
Karen,Karen Wright,9,9,NA,NA,60,In-store sampling assistant,Wakefield,NA,NA
Luke,Luke Thompson,9,9,NA,NA,30,Civil servant/house and techno DJ,Sheffield,NA,NA
Manon,Manon Lagrave,9,9,NA,NA,26,Software project manager,London,NA,NA
Terry,Terry Hartill,9,9,NA,NA,56,Retired air steward,West Midlands,NA,NA
Kim-Joy,Kim-Joy Hewlett,9,10,1,Runner-up,27,Mental health specialist,Leeds,NA,NA
Ruby,Ruby Bhogal,9,10,3,Runner-up,29,Project manager,London,NA,NA
Rahul,Rahul Mandal,9,10,2,WINNER,30,Research scientist,Rotherham,NA,NA
Antony,Antony Amourdoux,9,10,NA,NA,30,Banker,London,NA,NA
Briony,Briony Williams,9,10,NA,NA,33,Full-time parent,Bristol,NA,NA
Dan,Dan Beasley-Harling,9,10,NA,NA,36,Full-time parent,London,NA,NA
Imelda,Imelda McCarron,9,10,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
Jon,Jon Jenkins,9,10,NA,NA,47,Blood courier,Newport,NA,NA
Karen,Karen Wright,9,10,NA,NA,60,In-store sampling assistant,Wakefield,NA,NA
Luke,Luke Thompson,9,10,NA,NA,30,Civil servant/house and techno DJ,Sheffield,NA,NA
Manon,Manon Lagrave,9,10,NA,NA,26,Software project manager,London,NA,NA
Terry,Terry Hartill,9,10,NA,NA,56,Retired air steward,West Midlands,NA,NA
Alice,Alice Fevronia,10,1,5,IN,28,Geography teacher,Essex,NA,NA
Amelia,Amelia LeBruin,10,1,4,IN,24,Fashion designer,Halifax,NA,NA
David,David Atherton,10,1,10,IN,36,International health adviser,Whitby,NA,NA
Helena,Helena Garcia,10,1,12,IN,40,Online project manager,Leeds,NA,NA
Henry,Henry Bird,10,1,1,IN,20,Student,Durham,NA,NA
Jamie,Jamie Finn,10,1,13,IN,20,Part-time waiter,Surrey,NA,NA
Michael,Michael Chakraverty,10,1,11,IN,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
Phil,Phil Thorne,10,1,8,IN,56,HGV driver,Rainham,NA,NA
Priya,Priya O'Shea,10,1,7,IN,34,Marketing consultant,Leicester,NA,NA
Rosie,Rosie Brandreth-Poynter,10,1,2,IN,28,Veterinary surgeon,Somerset,NA,NA
Steph,Steph Blackwell,10,1,3,IN,28,Shop assistant,Chester,NA,NA
Dan,Dan Chambers,10,1,9,OUT,32,Support worker,Rotherham,NA,NA
Michelle,Michelle Evans-Fecci,10,1,6,STAR BAKER,35,Print shop administrator,"Tenby, Wales",NA,NA
Amelia,Amelia LeBruin,10,2,9,IN,24,Fashion designer,Halifax,NA,NA
David,David Atherton,10,2,2,IN,36,International health adviser,Whitby,NA,NA
Helena,Helena Garcia,10,2,12,IN,40,Online project manager,Leeds,NA,NA
Henry,Henry Bird,10,2,6,IN,20,Student,Durham,NA,NA
Michael,Michael Chakraverty,10,2,4,IN,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
Michelle,Michelle Evans-Fecci,10,2,8,IN,35,Print shop administrator,"Tenby, Wales",NA,NA
Phil,Phil Thorne,10,2,3,IN,56,HGV driver,Rainham,NA,NA
Priya,Priya O'Shea,10,2,7,IN,34,Marketing consultant,Leicester,NA,NA
Rosie,Rosie Brandreth-Poynter,10,2,5,IN,28,Veterinary surgeon,Somerset,NA,NA
Steph,Steph Blackwell,10,2,10,IN,28,Shop assistant,Chester,NA,NA
Jamie,Jamie Finn,10,2,11,OUT,20,Part-time waiter,Surrey,NA,NA
Alice,Alice Fevronia,10,2,1,STAR BAKER,28,Geography teacher,Essex,NA,NA
Dan,Dan Chambers,10,2,NA,NA,32,Support worker,Rotherham,NA,NA
Alice,Alice Fevronia,10,3,7,IN,28,Geography teacher,Essex,NA,NA
David,David Atherton,10,3,2,IN,36,International health adviser,Whitby,NA,NA
Helena,Helena Garcia,10,3,8,IN,40,Online project manager,Leeds,NA,NA
Henry,Henry Bird,10,3,1,IN,20,Student,Durham,NA,NA
Michelle,Michelle Evans-Fecci,10,3,5,IN,35,Print shop administrator,"Tenby, Wales",NA,NA
Phil,Phil Thorne,10,3,10,IN,56,HGV driver,Rainham,NA,NA
Priya,Priya O'Shea,10,3,4,IN,34,Marketing consultant,Leicester,NA,NA
Rosie,Rosie Brandreth-Poynter,10,3,9,IN,28,Veterinary surgeon,Somerset,NA,NA
Steph,Steph Blackwell,10,3,3,IN,28,Shop assistant,Chester,NA,NA
Amelia,Amelia LeBruin,10,3,11,OUT,24,Fashion designer,Halifax,NA,NA
Michael,Michael Chakraverty,10,3,6,STAR BAKER,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
Dan,Dan Chambers,10,3,NA,NA,32,Support worker,Rotherham,NA,NA
Jamie,Jamie Finn,10,3,NA,NA,20,Part-time waiter,Surrey,NA,NA
Alice,Alice Fevronia,10,4,8,IN,28,Geography teacher,Essex,NA,NA
David,David Atherton,10,4,2,IN,36,International health adviser,Whitby,NA,NA
Helena,Helena Garcia,10,4,9,IN,40,Online project manager,Leeds,NA,NA
Henry,Henry Bird,10,4,3,IN,20,Student,Durham,NA,NA
Michael,Michael Chakraverty,10,4,7,IN,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
Michelle,Michelle Evans-Fecci,10,4,5,IN,35,Print shop administrator,"Tenby, Wales",NA,NA
Priya,Priya O'Shea,10,4,10,IN,34,Marketing consultant,Leicester,NA,NA
Rosie,Rosie Brandreth-Poynter,10,4,4,IN,28,Veterinary surgeon,Somerset,NA,NA
Phil,Phil Thorne,10,4,6,OUT,56,HGV driver,Rainham,NA,NA
Steph,Steph Blackwell,10,4,1,STAR BAKER,28,Shop assistant,Chester,NA,NA
Amelia,Amelia LeBruin,10,4,NA,NA,24,Fashion designer,Halifax,NA,NA
Dan,Dan Chambers,10,4,NA,NA,32,Support worker,Rotherham,NA,NA
Jamie,Jamie Finn,10,4,NA,NA,20,Part-time waiter,Surrey,NA,NA
Alice,Alice Fevronia,10,5,6,IN,28,Geography teacher,Essex,NA,NA
David,David Atherton,10,5,9,IN,36,International health adviser,Whitby,NA,NA
Henry,Henry Bird,10,5,3,IN,20,Student,Durham,NA,NA
Michael,Michael Chakraverty,10,5,8,IN,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
Priya,Priya O'Shea,10,5,2,IN,34,Marketing consultant,Leicester,NA,NA
